Date,Price,Open,High,Low,Volume,Chg%
1/1/2014,29542,29435,29598,29340,2930,0.25
1/2/2014,29975,29678,30050,29678,3140,1.47
1/3/2014,29727,30031,30125,29539,3050,-0.83
1/4/2014,29279,29279,29279,29279,0,-1.51
1/6/2014,29119,29300,29395,29051,24380,-0.55
1/7/2014,28959,29130,29195,28912,18710,-0.55
1/8/2014,28934,28916,29029,28820,18140,-0.09
1/9/2014,28997,28990,29053,28865,15130,0.22
1/10/2014,29169,29030,29198,28960,15810,0.59
1/13/2014,29312,29170,29330,29133,13780,0.49
1/14/2014,29198,29289,29390,29155,10600,-0.39
1/15/2014,29150,29161,29180,29002,13980,-0.16
1/16/2014,29168,29165,29250,29090,12580,0.06
1/17/2014,29385,29132,29415,29054,17640,0.74
1/20/2014,29414,29410,29499,29392,9440,0.1
1/21/2014,29362,29392,29411,29256,18210,-0.18
1/22/2014,29269,29354,29426,29234,14900,-0.32
1/23/2014,29394,29230,29468,29116,30840,0.43
1/24/2014,29574,29399,29696,29345,20390,0.61
1/27/2014,29905,29682,29929,29682,22120,1.12
1/28/2014,29628,29871,29871,29586,18130,-0.93
1/29/2014,29835,29570,29890,29479,18140,0.7
1/30/2014,29499,29849,29913,29470,15910,-1.13
1/31/2014,29482,29481,29679,29355,15200,-0.06
2/3/2014,29789,29502,29850,29402,11760,1.04
2/4/2014,29534,29722,29821,29520,3160,-0.86
2/5/2014,29719,29515,30100,29515,4490,0.63
2/6/2014,29231,29273,29448,29211,18560,-1.64
2/7/2014,29310,29259,29440,29259,14620,0.27
2/10/2014,29471,29349,29549,29349,11910,0.55
2/11/2014,29670,29500,29700,29500,14740,0.68
2/12/2014,29698,29650,29724,29580,10770,0.09
2/13/2014,29726,29660,29748,29605,12470,0.09
2/14/2014,29932,29750,29949,29750,11850,0.69
2/17/2014,30664,29978,30731,29970,27800,2.45
2/18/2014,30766,30600,30790,30511,18180,0.33
2/19/2014,30712,30686,30865,30405,20720,-0.18
2/20/2014,30608,30680,30680,30507,12460,-0.34
2/21/2014,30677,30590,30749,30522,12330,0.23
2/24/2014,30927,30633,30975,30633,12900,0.81
2/25/2014,30972,30929,30999,30817,12760,0.15
2/26/2014,30810,30951,30969,30677,14740,-0.52
2/27/2014,30839,30884,30917,30788,4410,0.09
2/28/2014,30634,30820,30895,30567,16200,-0.66
3/3/2014,32051,30700,32279,30700,5670,4.63
3/4/2014,31126,31500,32379,31090,1310,-2.89
3/5/2014,32351,31200,32500,30770,1490,3.94
3/6/2014,30416,30350,30446,30105,21500,-5.98
